Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CLG28 (Feb '28)",61.46,-1.11,61.46,61.46,61.46,62.57,N/A,N/A,2023-01-03
"CLH28 (Mar '28)",61.23,-1.1,61.23,61.23,61.23,62.33,N/A,N/A,2023-01-03
"CLJ28 (Apr '28)",61.07,-1.09,61.07,61.07,61.07,62.16,N/A,N/A,2023-01-03
"CLK28 (May '28)",60.97,-1.08,60.97,60.97,60.97,62.05,N/A,N/A,2023-01-03
"CLM28 (Jun '28)",60.84,-1.08,60.84,60.84,60.84,61.92,N/A,N/A,2023-01-03
"CLN28 (Jul '28)",60.68,-1.07,60.68,60.68,60.68,61.75,N/A,N/A,2023-01-03
"CLQ28 (Aug '28)",60.51,-1.06,60.51,60.51,60.51,61.57,N/A,N/A,2023-01-03
"CLU28 (Sep '28)",60.35,-1.06,60.35,60.35,60.35,61.41,N/A,N/A,2023-01-03
"CLV28 (Oct '28)",60.15,-1.05,60.15,60.15,60.15,61.2,N/A,N/A,2023-01-03
"CLX28 (Nov '28)",60.01,-1.04,60.01,60.01,60.01,61.05,N/A,N/A,2023-01-03
"CLZ28 (Dec '28)",59.89,-1.03,60.5,60.5,59.89,60.92,2,2669,2023-01-03
"CLF29 (Jan '29)",59.68,-1.03,59.68,59.68,59.68,60.71,N/A,N/A,2023-01-03
"CLG29 (Feb '29)",59.54,-1.02,59.54,59.54,59.54,60.56,N/A,N/A,2023-01-03
"CLH29 (Mar '29)",59.39,-1.01,59.39,59.39,59.39,60.4,N/A,N/A,2023-01-03
"CLJ29 (Apr '29)",59.2,-1,59.2,59.2,59.2,60.2,N/A,N/A,2023-01-03
"CLK29 (May '29)",59.04,-1,59.04,59.04,59.04,60.04,N/A,N/A,2023-01-03
"CLM29 (Jun '29)",58.94,-0.95,58.94,58.94,58.94,59.89,N/A,N/A,2023-01-03
"CLN29 (Jul '29)",58.68,-0.99,58.68,58.68,58.68,59.67,N/A,N/A,2023-01-03
"CLQ29 (Aug '29)",58.57,-0.98,58.57,58.57,58.57,59.55,N/A,N/A,2023-01-03
"CLU29 (Sep '29)",58.39,-0.98,58.39,58.39,58.39,59.37,N/A,N/A,2023-01-03
"CLV29 (Oct '29)",58.27,-0.97,58.27,58.27,58.27,59.24,N/A,N/A,2023-01-03
